Date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th
2/3/2025,OKC (39-9),MEM (34-16),HOU (32-17),DEN (31-19),LAL (28-19),LAC (28-21),MIN (27-23),DAL (26-24),GSW (25-24) T9,PHO (25-24) T9,SAC (25-24) T9,SAS (21-26),POR (21-29),NOP (12-38),UTA (11-37)
2/4/2025,OKC (39-9),MEM (34-16),HOU (32-18),DEN (31-19),LAL (29-19),LAC (28-22),MIN (27-23),GSW (25-24) T8,PHO (25-24) T8,SAC (25-24) T8,DAL (26-25),SAS (21-26),POR (22-29),NOP (12-38),UTA (11-37)
2/5/2025,OKC (40-9),MEM (35-16),HOU (32-18),DEN (32-19),LAL (29-19),LAC (28-22),MIN (28-23),DAL (26-25),GSW (25-25) T9,PHO (25-25) T9,SAC (25-25) T9,SAS (22-26),POR (22-29),UTA (12-37),NOP (12-39)
2/6/2025,OKC (40-9),MEM (35-16),DEN (33-19),HOU (32-19),LAL (30-19),MIN (29-23),LAC (28-23),DAL (27-25),PHO (25-25),GSW (25-26) T10,SAC (25-26) T10,SAS (22-26),POR (23-29),UTA (12-37),NOP (12-39)
2/7/2025,OKC (41-9),MEM (35-16),DEN (33-19),HOU (32-19),LAL (30-19),MIN (29-23),LAC (28-23),DAL (27-25),PHO (26-25),GSW (25-26) T10,SAC (25-26) T10,SAS (22-27),POR (23-29),UTA (12-38),NOP (12-39)
2/8/2025,OKC (42-9),MEM (35-17),DEN (34-19),LAL (31-19),HOU (32-20),MIN (30-23),LAC (29-23),DAL (28-25),GSW (26-26) T9,PHO (26-26) T9,SAC (26-26) T9,SAS (22-28),POR (23-30),UTA (12-39),NOP (12-40)
2/9/2025,OKC (42-9),MEM (35-17),DEN (34-19),HOU (33-20),LAL (31-19),MIN (30-23),LAC (29-23),DAL (28-25),GSW (26-26) T9,PHO (26-26) T9,SAC (26-26) T9,SAS (22-28),POR (23-30),UTA (12-39),NOP (12-40)
2/10/2025,OKC (43-9),MEM (35-17),DEN (35-19),LAL (32-19),HOU (33-20),LAC (29-23),MIN (30-24),DAL (28-26),GSW (27-26) T9,SAC (27-26) T9,PHO (26-26),SAS (23-28),POR (23-31),UTA (12-40),NOP (12-41)
2/11/2025,OKC (43-9),MEM (36-17),DEN (35-19),LAL (32-19),HOU (33-20),LAC (29-23),MIN (30-24),DAL (28-26),GSW (27-26) T9,SAC (27-26) T9,PHO (26-27),SAS (23-28),POR (23-31),UTA (12-40),NOP (12-41)
2/12/2025,OKC (44-9),MEM (36-18),DEN (36-19),HOU (34-20),LAL (32-20),LAC (30-23),MIN (30-25),DAL (29-26),SAC (28-26),GSW (27-27),PHO (26-28),SAS (23-29),POR (23-32),UTA (13-40),NOP (12-42)
2/13/2025,OKC (44-10),MEM (36-18),DEN (36-19),HOU (34-21),LAL (32-20),LAC (31-23),MIN (31-25),DAL (30-26),GSW (28-27) T9,SAC (28-27) T9,PHO (26-28),SAS (23-29),POR (23-32),UTA (13-41),NOP (13-42)
2/19/2025,OKC (44-10),MEM (36-18),DEN (36-19),HOU (34-21),LAL (32-21),LAC (31-23),MIN (31-25),DAL (30-26),GSW (28-27) T9,SAC (28-27) T9,PHO (26-28),SAS (23-29),POR (23-32),UTA (13-41),NOP (13-42)
2/20/2025,OKC (44-10),DEN (37-19),MEM (36-19),HOU (34-21),LAL (33-21),LAC (31-24),MIN (31-25),DAL (30-26),GSW (28-27) T9,SAC (28-27) T9,PHO (26-29),SAS (24-29),POR (23-33),UTA (13-41),NOP (13-42)
2/21/2025,OKC (45-10),DEN (37-19) T2,MEM (37-19) T2,HOU (35-21),LAL (33-21),LAC (31-24),DAL (31-26) T7,MIN (31-26) T7,GSW (29-27),SAC (28-28),PHO (26-29),SAS (24-30),POR (23-33),UTA (13-42),NOP (13-43)
2/22/2025,OKC (45-10),MEM (37-19),DEN (37-20),LAL (34-21),HOU (35-22),LAC (31-24),DAL (31-26) T7,MIN (31-26) T7,GSW (29-27),SAC (28-28),PHO (27-29),SAS (24-30),POR (24-33),UTA (14-42),NOP (13-43)
2/23/2025,OKC (46-10),DEN (37-20) T2,MEM (37-20) T2,LAL (34-21),HOU (35-22),LAC (31-25),DAL (31-27) T7,MIN (31-27) T7,GSW (30-27),SAC (28-28),PHO (27-30),SAS (24-31),POR (24-33),UTA (14-42),NOP (14-43)
2/24/2025,OKC (46-11),DEN (38-20),MEM (37-20),LAL (34-21),HOU (35-22),LAC (31-26),MIN (32-27),DAL (31-27),GSW (30-27),SAC (29-28),PHO (27-30),SAS (24-31),POR (25-33),NOP (14-43) T14,UTA (14-43) T14
2/25/2025,OKC (46-11),DEN (38-20) T2,MEM (38-20) T2,LAL (35-21),HOU (36-22),LAC (31-26),MIN (32-27),GSW (31-27),DAL (31-28),SAC (29-28),PHO (27-31),POR (25-33),SAS (24-32),NOP (15-43),UTA (14-43)
2/26/2025,OKC (47-11),DEN (38-20) T2,MEM (38-20) T2,HOU (37-22),LAL (35-21),LAC (32-26),MIN (32-27),GSW (31-27),DAL (31-28),SAC (30-28),PHO (27-31),POR (26-33),SAS (24-33),NOP (15-43),UTA (14-44)
2/27/2025,OKC (47-11),MEM (38-20),DEN (38-21),LAL (36-21),HOU (37-22),LAC (32-26),GSW (32-27),DAL (32-28) T8,MIN (32-28) T8,SAC (30-28),PHO (27-32),POR (26-33),SAS (24-33),NOP (16-43),UTA (14-44)
2/28/2025,OKC (48-11),DEN (39-21),MEM (38-21),LAL (37-21),HOU (37-22),GSW (32-27) T6,LAC (32-27) T6,DAL (32-28),MIN (32-29),SAC (30-28),PHO (28-32),POR (27-33),SAS (24-33),NOP (16-44),UTA (15-44)
3/1/2025,OKC (48-11),DEN (39-21),LAL (37-21),MEM (38-22),HOU (37-23),LAC (32-27),GSW (32-28),SAC (31-28),DAL (32-29) T9,MIN (32-29) T9,PHO (28-32),POR (27-33),SAS (25-33),NOP (16-44),UTA (15-44)
3/2/2025,OKC (49-11),LAL (38-21),DEN (39-22),MEM (38-22),HOU (37-23),GSW (32-28) T6,LAC (32-28) T6,MIN (33-29),SAC (31-28),DAL (32-29),PHO (28-33),POR (27-34),SAS (25-34),NOP (17-44),UTA (15-45)
3/3/2025,OKC (50-11),LAL (38-21),DEN (39-22),MEM (38-23),HOU (37-24),GSW (33-28),LAC (32-28) T7,SAC (32-28) T7,MIN (33-29),DAL (32-30),PHO (28-33),POR (28-34),SAS (25-34),NOP (17-44),UTA (15-46)
3/4/2025,OKC (50-11),LAL (39-21),DEN (39-22),MEM (38-23),HOU (37-25),GSW (34-28),MIN (34-29),SAC (32-28),LAC (32-29),DAL (32-30),PHO (29-33),POR (28-34),SAS (26-34),NOP (17-45),UTA (15-46)
3/5/2025,OKC (51-11),LAL (39-21),DEN (40-22),MEM (38-24),HOU (37-25),GSW (34-28),MIN (35-29),LAC (33-29),SAC (32-29),DAL (32-31),PHO (29-33),POR (28-35),SAS (26-34),NOP (17-45),UTA (15-47)
3/6/2025,OKC (51-11),LAL (40-21),DEN (40-22),MEM (38-24),HOU (38-25),GSW (35-28),MIN (35-29),LAC (33-29),SAC (32-29),DAL (32-31),PHO (29-33),POR (28-35),SAS (26-34),NOP (17-46),UTA (15-47)
3/7/2025,OKC (52-11),LAL (40-21),DEN (41-22),MEM (39-24),HOU (38-25),GSW (35-28),MIN (36-29),LAC (34-29),SAC (33-29),DAL (32-32),PHO (29-34),POR (28-36),SAS (26-35),NOP (17-46),UTA (15-48)
3/8/2025,OKC (52-11),DEN (41-22),LAL (40-22),MEM (39-24),HOU (39-25),GSW (36-28),MIN (36-29),LAC (34-29),SAC (33-29),DAL (32-32),PHO (29-34),POR (28-36),SAS (26-35),NOP (17-47),UTA (15-48)
3/9/2025,OKC (53-11),LAL (40-22),DEN (41-23),MEM (40-24),HOU (39-25),GSW (36-28),MIN (37-29),LAC (35-29),SAC (33-30),DAL (32-33),PHO (30-34),POR (28-37),SAS (26-36),NOP (17-48),UTA (15-49)
3/10/2025,OKC (53-12),DEN (42-23),LAL (40-23),MEM (41-24),HOU (40-25),GSW (37-28),MIN (37-29),LAC (35-29),SAC (33-31),DAL (33-33),PHO (30-35),POR (28-38),SAS (26-37),NOP (17-48),UTA (15-50)
3/11/2025,OKC (53-12),DEN (42-23),LAL (40-23),MEM (41-24),HOU (40-25),GSW (37-28),MIN (37-29),LAC (35-30),SAC (33-31),DAL (33-33),PHO (30-35),POR (28-38),SAS (26-37),NOP (18-48),UTA (15-50)
3/12/2025,OKC (54-12),DEN (42-24) T2,MEM (42-24) T2,LAL (40-23),HOU (41-25),GSW (37-28),MIN (38-29),LAC (36-30),SAC (33-31),DAL (33-34),PHO (30-36),SAS (27-37),POR (28-39),NOP (18-48),UTA (15-51)
3/13/2025,OKC (54-12),DEN (42-24) T2,MEM (42-24) T2,LAL (40-24),HOU (41-25),GSW (38-28),MIN (38-29),LAC (36-30),SAC (33-32),DAL (33-34),PHO (30-36),SAS (27-37),POR (28-39),NOP (18-49),UTA (15-51)
3/14/2025,OKC (54-12),DEN (43-24),HOU (42-25) T3,MEM (42-25) T3,LAL (40-25),GSW (38-28),MIN (39-29),LAC (37-30),SAC (33-33),DAL (33-35),PHO (31-36),POR (28-39),SAS (27-38),NOP (18-49),UTA (15-52)
3/15/2025,OKC (55-12),DEN (43-25) T2,HOU (43-25) T2,MEM (43-25) T2,LAL (40-25),GSW (39-28),MIN (39-29),LAC (37-30),SAC (33-33),DAL (33-35),PHO (31-36),SAS (28-38),POR (28-39),NOP (18-50),UTA (15-52)
3/16/2025,OKC (56-12),DEN (43-25) T2,HOU (43-25) T2,MEM (43-25) T2,LAL (41-25),GSW (39-28),MIN (40-29),LAC (38-30),SAC (33-33),DAL (33-36),PHO (31-37),POR (29-39),SAS (28-38),NOP (18-50),UTA (15-53)
3/17/2025,OKC (56-12),DEN (44-25) T2,HOU (44-25) T2,LAL (42-25),MEM (43-26),GSW (39-29),MIN (40-30),LAC (38-30),SAC (34-33),DAL (33-36),PHO (32-37),POR (30-39),SAS (28-39),NOP (18-51),UTA (15-54)
3/18/2025,OKC (56-12),DEN (44-25) T2,HOU (44-25) T2,LAL (42-25),MEM (43-26),GSW (40-29),MIN (40-30),LAC (39-30),SAC (34-33),DAL (33-36),PHO (32-37),POR (30-39),SAS (28-39),NOP (18-51),UTA (15-54)
3/19/2025,OKC (57-12),HOU (45-25),LAL (43-25),DEN (44-26),MEM (43-27),GSW (40-29),LAC (39-30),MIN (40-31),SAC (35-33),DAL (33-37) T10,PHO (33-37) T10,POR (31-39),SAS (29-39),NOP (19-51),UTA (16-54)
3/20/2025,OKC (57-12),HOU (45-25),DEN (44-26),LAL (43-26),MEM (43-27),GSW (41-29),LAC (39-30),MIN (40-31),SAC (35-34),DAL (33-37) T10,PHO (33-37) T10,POR (31-39),SAS (29-39),NOP (19-51),UTA (16-54)
3/21/2025,OKC (58-12),HOU (46-25),LAL (43-26),DEN (44-27),MEM (43-28),GSW (41-29),LAC (40-30),MIN (41-31),SAC (35-34),DAL (34-37) T10,PHO (34-37) T10,POR (32-39),SAS (30-39),NOP (19-52),UTA (16-55)
3/22/2025,OKC (58-12),HOU (46-25),DEN (44-27),LAL (43-27),MEM (43-28),GSW (41-30),LAC (40-30),MIN (41-31),SAC (35-35),DAL (34-37) T10,PHO (34-37) T10,POR (32-39),SAS (30-39),NOP (19-52),UTA (16-55)
3/23/2025,OKC (59-12),HOU (46-26),DEN (45-27),LAL (43-27),MEM (43-28),GSW (41-30),MIN (41-31),LAC (40-31),SAC (35-35),DAL (34-37) T10,PHO (34-37) T10,POR (32-40),SAS (31-39),NOP (19-53),UTA (16-56)
3/24/2025,OKC (59-12),HOU (46-26),DEN (45-28),LAL (43-28) T4,MEM (43-28) T4,GSW (41-30),LAC (40-31),MIN (41-32),SAC (35-36),DAL (35-37) T10,PHO (35-37) T10,POR (32-40),SAS (31-39),NOP (20-53),UTA (16-56)
3/25/2025,OKC (60-12),HOU (47-26),DEN (45-28),MEM (44-28),LAL (43-28),GSW (41-31),LAC (40-31),MIN (41-32),PHO (35-37) T9,SAC (35-37) T9,DAL (35-38),POR (32-41),SAS (31-40),NOP (20-53),UTA (16-57)
3/26/2025,OKC (60-12),HOU (47-26),DEN (46-28),LAL (44-28) T4,MEM (44-28) T4,GSW (41-31) T6,LAC (41-31) T6,MIN (41-32),SAC (35-37),DAL (35-38) T10,PHO (35-38) T10,POR (32-41),SAS (31-40),NOP (20-53),UTA (16-57)
3/27/2025,OKC (61-12),HOU (48-26),DEN (46-28),LAL (44-29) T4,MEM (44-29) T4,GSW (41-31) T6,LAC (41-31) T6,MIN (41-32),SAC (36-37),DAL (36-38),PHO (35-38),POR (32-42),SAS (31-41),NOP (20-53),UTA (16-58)
3/28/2025,OKC (61-12),HOU (48-26),DEN (47-28),LAL (44-29) T4,MEM (44-29) T4,GSW (42-31) T6,LAC (42-31) T6,MIN (42-32),SAC (36-37),DAL (36-38),PHO (35-39),POR (32-42),SAS (31-41),NOP (20-54),UTA (16-59)
3/29/2025,OKC (62-12),HOU (48-26),DEN (47-28),LAL (45-29),MEM (44-30),GSW (42-31) T6,LAC (42-31) T6,MIN (42-32),DAL (37-38),SAC (36-38),PHO (35-39),POR (32-42),SAS (31-42),NOP (20-54),UTA (16-59)
3/30/2025,OKC (62-12),HOU (49-26),DEN (47-28),LAL (45-29),MEM (44-30),GSW (43-31),MIN (43-32),LAC (42-32),DAL (37-38),SAC (36-38),PHO (35-40),POR (32-43),SAS (31-43),NOP (21-54),UTA (16-59)
3/31/2025,OKC (63-12),HOU (49-27),DEN (47-28),LAL (46-29),MEM (44-31),GSW (43-31),LAC (43-32) T7,MIN (43-32) T7,DAL (37-39),SAC (36-39),PHO (35-40),POR (32-43),SAS (31-43),NOP (21-54),UTA (16-60)
4/1/2025,OKC (63-12),HOU (49-27),DEN (47-29),LAL (46-29),GSW (44-31),MEM (44-32) T6,MIN (44-32) T6,LAC (43-32),DAL (37-39),SAC (36-39),PHO (35-41),POR (33-43),SAS (31-44),NOP (21-54),UTA (16-60)
4/2/2025,OKC (64-12),HOU (50-27),LAL (46-29),DEN (47-30),GSW (44-31),LAC (44-32) T6,MEM (44-32) T6,MIN (44-32) T6,DAL (38-39),SAC (36-40),PHO (35-41),POR (33-43),SAS (32-44),NOP (21-55),UTA (16-61)
4/3/2025,OKC (64-12),HOU (50-27),DEN (47-30),LAL (46-30),GSW (45-31),MEM (45-32) T6,MIN (45-32) T6,LAC (44-32),DAL (38-39),SAC (36-40),PHO (35-41),POR (34-43),SAS (32-44),NOP (21-55),UTA (16-61)
4/4/2025,OKC (64-13),HOU (51-27),LAL (47-30),DEN (47-31),GSW (46-31),LAC (45-32) T6,MEM (45-32) T6,MIN (45-32) T6,DAL (38-40),SAC (37-40),PHO (35-42),POR (34-44),SAS (32-45),NOP (21-56),UTA (16-62)
4/5/2025,OKC (64-13),HOU (51-27),LAL (47-30),DEN (47-31),GSW (46-31),LAC (46-32) T6,MEM (46-32) T6,MIN (46-32) T6,DAL (38-41),SAC (37-40),PHO (35-42),POR (34-44),SAS (32-45),NOP (21-56),UTA (16-62)
4/6/2025,OKC (64-14),HOU (52-27),LAL (48-30),DEN (47-32),GSW (46-32) T5,LAC (46-32) T5,MEM (46-32) T5,MIN (46-32) T5,SAC (38-40),DAL (38-41),PHO (35-43),POR (35-44),SAS (32-46),NOP (21-57),UTA (16-63)
4/7/2025,OKC (64-14),HOU (52-27),LAL (48-30),DEN (47-32),GSW (46-32) T5,LAC (46-32) T5,MEM (46-32) T5,MIN (46-32) T5,SAC (39-40),DAL (38-41),PHO (35-43),POR (35-44),SAS (32-46),NOP (21-57),UTA (16-63)
4/8/2025,OKC (65-14),HOU (52-27),LAL (48-31),DEN (47-32) T4,GSW (47-32) T4,LAC (47-32) T4,MEM (47-32) T4,MIN (46-33),SAC (39-40),DAL (38-41),PHO (35-44) T11,POR (35-44) T11,SAS (32-47),NOP (21-58),UTA (16-63)
4/9/2025,OKC (66-14),HOU (52-28),LAL (49-31),DEN (48-32) T4,LAC (48-32) T4,MEM (47-32),GSW (47-33),MIN (46-33),SAC (39-41),DAL (38-42),PHO (35-45) T11,POR (35-45) T11,SAS (33-47),NOP (21-58),UTA (17-63)
4/10/2025,OKC (66-14),HOU (52-28),LAL (49-31),DEN (48-32) T4,LAC (48-32) T4,GSW (47-33) T6,MEM (47-33) T6,MIN (47-33) T6,SAC (39-41),DAL (38-42),PHO (35-45) T11,POR (35-45) T11,SAS (33-47),NOP (21-59),UTA (17-63)
4/11/2025,OKC (67-14),HOU (52-29),LAL (50-31),DEN (49-32) T4,LAC (49-32) T4,GSW (48-33) T6,MIN (48-33) T6,MEM (47-34),DAL (39-42) T9,SAC (39-42) T9,PHO (36-45),POR (35-46),SAS (33-48),NOP (21-60),UTA (17-64)
4/13/2025,OKC (68-14),HOU (52-30),DEN (50-32) T3,LAC (50-32) T3,LAL (50-32) T3,MIN (49-33),GSW (48-34) T7,MEM (48-34) T7,SAC (40-42),DAL (39-43),PHO (36-46) T11,POR (36-46) T11,SAS (34-48),NOP (21-61),UTA (17-65)
